client_id,clnt_tenure_yr,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,bal_category,account_since_child
2371545,16,53,F,2,54570.14,1,4,medio,no
2371810,5,22,U,2,35012.52,2,5,bajo,yes
2371943,10,63,F,2,237746.94,2,5,alto,no
2371970,16,55,F,2,219169.94,4,7,alto,no
2372059,13,53,F,2,142574.8,1,4,alto,no
2372230,15,35,F,2,139177.24,3,6,alto,no
2372658,16,71,F,3,136718.9,4,7,medio,no
2373104,11,36,U,2,77237.48999999999,0,3,medio,no
2373459,22,60,F,2,196551.71,6,9,alto,no
2373602,14,40,U,3,138286.41,1,4,alto,no
2373790,24,62,M,3,218304.49,3,6,alto,no
2374361,21,52,F,3,95737.52,0,3,medio,no
2374507,14,47,F,2,35909.58,1,4,bajo,no
2374902,11,22,F,2,377527.6,2,5,alto,yes
2374934,7,71,U,2,165517.83000000002,3,7,alto,no
2375127,4,49,U,2,42410.42,5,8,medio,no
2375918,15,42,F,2,33032.05,0,3,bajo,no
2376070,5,30,M,2,32993.94,6,9,bajo,no
2376321,17,43,F,3,758494.62,3,6,alto,no
2376344,5,41,U,2,48294.72,6,9,medio,no
2376452,20,54,F,4,1073878.77,6,9,alto,no
2376486,14,27,F,2,72328.23999999999,1,5,medio,yes
2376505,7,72,U,2,45556.02,4,7,medio,no
2376568,13,46,U,2,76836.92,0,3,medio,no
2377028,17,55,F,2,135324.96,2,5,medio,no
2377064,6,33,U,2,60136.17,5,8,medio,no
2377314,7,67,M,2,151744.12,1,4,alto,no
2377937,6,48,U,2,126687.47,2,5,medio,no
2378055,4,23,U,2,30709.12,1,4,bajo,no
2378341,18,53,F,3,65598.98,1,4,medio,no
2378550,21,39,M,3,321269.58,6,9,alto,no
2378565,6,34,U,2,60810.91,2,5,medio,no
2378794,21,47,F,2,109143.19,2,5,medio,no
2379374,15,58,F,2,44989.98,1,4,medio,no
2379592,17,48,M,4,80850.54000000001,6,9,medio,no
2379890,6,24,U,2,30330.33,1,4,bajo,no
2379892,21,63,M,2,47624.26,0,3,medio,no
2380023,20,43,M,2,27389.73,1,4,bajo,no
2380077,9,51,F,2,803238.55,4,7,alto,no
2380192,28,52,M,3,828492.81,1,4,alto,no
2380229,8,31,U,2,81441.98,1,4,medio,no
2380332,16,53,M,2,385919.33,6,9,alto,no
2380463,11,41,M,2,90801.57,5,8,medio,no
2380669,33,74,M,2,172510.15999999997,6,9,alto,no
2381209,8,39,U,2,100618.54,2,5,medio,no
2381474,21,38,F,2,113803.36,1,4,medio,yes
2381726,7,68,F,2,104220.51,2,5,medio,no
2381834,5,44,U,2,57572.97,5,8,medio,no
2382409,10,67,M,2,27721.69,0,3,bajo,no
2382696,21,47,F,2,209727.42,2,5,alto,no
2382972,9,58,F,2,25573.0,6,9,bajo,no
2383076,20,44,F,3,168941.15999999997,3,6,alto,no
2383258,7,23,U,3,108620.42,4,7,medio,yes
2383421,8,62,U,2,24350.2,2,5,bajo,no
2383774,4,54,U,2,31427.03,1,4,bajo,no
2383926,13,42,F,2,51488.7,0,3,medio,no
2384121,16,44,F,2,43973.06,0,3,medio,no
2384232,13,45,U,2,105902.69,0,3,medio,no
2384259,32,61,M,2,524626.48,2,5,alto,no
2384314,21,72,F,2,58723.99,2,5,medio,no
2385034,2,31,U,3,58424.56,6,9,medio,no
2385070,5,53,U,2,56591.95,5,8,medio,no
2385222,11,44,M,2,67624.03,1,4,medio,no
2385262,12,56,M,3,513751.96,2,5,alto,no
2385269,13,53,F,2,115990.91,1,4,medio,no
2385412,24,50,F,2,348445.59,5,8,alto,no
2385832,8,55,F,2,37029.53,1,4,bajo,no
2386069,12,67,M,2,116057.02,4,7,medio,no
2386141,7,59,U,2,64618.73,0,3,medio,no
2386196,9,68,F,2,1061189.04,3,6,alto,no
2386323,11,36,M,2,37515.74,6,9,bajo,no
2386780,16,58,F,2,136643.07,2,6,medio,no
2386890,17,48,F,2,104272.7,3,6,medio,no
2387182,16,67,M,2,138950.33000000002,5,8,alto,no
2387654,14,39,M,2,36867.61,0,3,bajo,no
2388317,9,29,M,2,27945.93,0,3,bajo,no
2388335,19,39,M,3,84891.97,5,8,medio,no
2388356,11,34,F,2,104318.39,0,3,medio,no
2388642,20,53,M,2,207789.58,2,5,alto,no
2389741,13,58,M,2,28886.77,0,3,bajo,no
2389810,7,63,U,2,170498.27999999997,6,9,alto,no
2389989,15,47,M,3,80923.5,3,6,medio,no
2390274,18,37,U,2,39558.52,4,7,medio,no
